"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
med_inh_12,mdication_actuellement_prise,,radio,,"1, BRICANYL (terbutaline)",,,,,,,,LV,,,,
med_inh_tab_12,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_12}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_12}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_12}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_12}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_12] = '1'",,,,,,
med_inh_33,mdication_actuellement_prise,,radio,,"1, VENTOLIN diskus (salbutamol)",,,,,,,,LV,,,,
med_inh_tab_33,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_33}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_33}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_33}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_33}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_33] = '1'",,,,,,
med_inh_34,mdication_actuellement_prise,,radio,,"1, VENTOLIN HFA (salbutamol)",,,,,,,,LV,,,,
med_inh_tab_34,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_34}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_34}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_34}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_34}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_34] = '1'",,,,,,
med_inh_18,mdication_actuellement_prise,"<div class=""rich-text-field-label""><p>AGONISTE BETA-2 À <span style=""color: #2dc26b;"">LONGUE DURÉE D'ACTION (BALA)</span></p></div>",radio,,"1, FORADIL (formotérol)",,,,,,,,LV,,,,
med_inh_tab_18,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_18}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_18}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_18}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_18}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_18] = '1'",,,,,,
med_inh_21,mdication_actuellement_prise,,radio,,"1, ONBREZ (indacatérol)",,,,,,,,LV,,,,
med_inh_tab_21,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_21}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_21}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_21}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_21}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_21] = '1'",,,,,,
med_inh_22,mdication_actuellement_prise,,radio,,"1, OXEZE (formotérol)",,,,,,,,LV,,,,
med_inh_tab_22,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_22}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_22}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_22}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_22}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_22] = '1'",,,,,,
med_inh_26,mdication_actuellement_prise,,radio,,"1, SEREVENT diskus (salmétérol)",,,,,,,,LV,,,,
med_inh_tab_26,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_26}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_26}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_26}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_26}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_26] = '1'",,,,,,
med_inh_8,mdication_actuellement_prise,"<div class=""rich-text-field-label""><p>ANTICHOLINERGIQUES À <span style=""color: #843fa1;"">COURTE DURÉE D'ACTION (ACCA)</span></p></div>",radio,,"1, ATROVENT (ipratropium)",,,,,,,,LV,,,,
med_inh_tab_8,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_8}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_8}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_8}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_8}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_8] = '1'",,,,,,
med_inh_19,mdication_actuellement_prise,"<div class=""rich-text-field-label""><p>ANTICHOLINERGIQUES À <span style=""color: #236fa1;"">LONGUE DURÉE D'ACTION (ACLA)</span></p></div>",radio,,"1, INCRUSE (uméclidinium)",,,,,,,,LV,,,,
med_inh_tab_19,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_19}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_19}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_19}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_19}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_19] = '1'",,,,,,
med_inh_25,mdication_actuellement_prise,,radio,,"1, SEEBRI (glycopyrronium)",,,,,,,,LV,,,,
med_inh_tab_25,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_25}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_25}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_25}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_25}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_25] = '1'",,,,,,
med_inh_27,mdication_actuellement_prise,,radio,,"1, SPIRIVA respimat (tiotropium)",,,,,,,,LV,,,,
med_inh_tab_27,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_27}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_27}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_27}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_27}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_27] = '1'",,,,,,
med_inh_28,mdication_actuellement_prise,,radio,,"1, SPIRIVA handihaler (tiotropium)",,,,,,,,LV,,,,
med_inh_tab_28,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_28}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_28}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_28}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_28}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_28] = '1'",,,,,,
med_inh_31,mdication_actuellement_prise,,radio,,"1, TUDORZA (aclidinium)",,,,,,,,LV,,,,
med_inh_tab_31,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_31}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_31}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_31}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_31}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_31] = '1'",,,,,,
med_inh_37,mdication_actuellement_prise,"<div class=""rich-text-field-label""><p><span style=""color: #ba372a;"">CORTICOSTÉROÏDES INHALÉS</span></p></div>",radio,,"1, AERMONY (fluticasone propionate)",,,,,,,,LV,,,,
med_inh_tab_37,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_37}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_37}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_37}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_37}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_37] = '1'",,,,,,
med_inh_3,mdication_actuellement_prise,,radio,,"1, ALVESCO (ciclésonide)",,,,,,,,LV,,,,
med_inh_defp3,mdication_actuellement_prise,,calc,"Dose équivalente en fluticasone proprionate",[med_inh_puff_3]*[med_inh_dose_3]*[med_inh_freq_3]*250/200,,,,,,,,LV,,,,
med_inh_tab_3,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.02%;"" border=""1""> <tbody> <tr> <td style=""width: 18.702%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 20.1189%; text-align: center;"">Dose</td> <td style=""width: 22.3858%; text-align: center;"">Fréquence</td> <td style=""width: 20.5465%; text-align: center;"">Dose quotidienne</td> <td style=""width: 18.2744%; text-align: center;"">Dose équivalente de fluticasone propionate</td> </tr> <tr> <td style=""width: 18.702%; text-align: center;"">{med_inh_puff_3}</td> <td style=""width: 20.1189%; text-align: center;"">{med_inh_dose_3}</td> <td style=""width: 22.3858%; text-align: center;"">{med_inh_freq_3}</td> <td style=""width: 20.5465%; text-align: center;"">{med_inh_dq_3}</td> <td style=""width: 18.2744%; text-align: center;"">{med_inh_defp3}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_3] = '1'",,,,,,
med_inh_5,mdication_actuellement_prise,,radio,,"1, ARNUITY (fluticasone furoate)",,,,,,,,LV,,,,
med_inh_tab_5,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.02%;"" border=""1""> <tbody> <tr> <td style=""width: 18.702%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 20.1189%; text-align: center;"">Dose</td> <td style=""width: 22.3858%; text-align: center;"">Fréquence</td> <td style=""width: 20.5465%; text-align: center;"">Dose quotidienne</td> <td style=""width: 18.2744%; text-align: center;"">Dose équivalente de fluticasone propionate</td> </tr> <tr> <td style=""width: 18.702%; text-align: center;"">{med_inh_puff_5}</td> <td style=""width: 20.1189%; text-align: center;"">{med_inh_dose_5}</td> <td style=""width: 22.3858%; text-align: center;"">{med_inh_freq_5}</td> <td style=""width: 20.5465%; text-align: center;"">{med_inh_dq_5}</td> <td style=""width: 18.2744%; text-align: center;"">{med_inh_defp5}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_5] = '1'",,,,,,
med_inh_defp5,mdication_actuellement_prise,,calc,"Dose équivalente en fluticasone proprionate",[med_inh_puff_5]*[med_inh_dose_5]*[med_inh_freq_5]*500/100,,,,,,,,LV,,,,
med_inh_6,mdication_actuellement_prise,,radio,,"1, ASMANEX (mométasone)",,,,,,,,LV,,,,
med_inh_tab_6,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.02%;"" border=""1""> <tbody> <tr> <td style=""width: 18.702%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 20.1189%; text-align: center;"">Dose</td> <td style=""width: 22.3858%; text-align: center;"">Fréquence</td> <td style=""width: 20.5465%; text-align: center;"">Dose quotidienne</td> <td style=""width: 18.2744%; text-align: center;"">Dose équivalente de fluticasone propionate</td> </tr> <tr> <td style=""width: 18.702%; text-align: center;"">{med_inh_puff_6}</td> <td style=""width: 20.1189%; text-align: center;"">{med_inh_dose_6}</td> <td style=""width: 22.3858%; text-align: center;"">{med_inh_freq_6}</td> <td style=""width: 20.5465%; text-align: center;"">{med_inh_dq_6}</td> <td style=""width: 18.2744%; text-align: center;"">{med_inh_defp6}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_6] = '1'",,,,,,
med_inh_defp6,mdication_actuellement_prise,,calc,"Dose équivalente en fluticasone proprionate",[med_inh_puff_6]*[med_inh_dose_6]*[med_inh_freq_6]*250/200,,,,,,,,LV,,,,
med_inh_16,mdication_actuellement_prise,,radio,,"1, FLOVENT diskus (fluticasone propionate)",,,,,,,,LV,,,,
med_inh_tab_16,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_16}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_16}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_16}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_16}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_16] = '1'",,,,,,
med_inh_17,mdication_actuellement_prise,,radio,,"1, FLOVENT HFA (fluticasone propionate)",,,,,,,,LV,,,,
med_inh_tab_17,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_17}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_17}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_17}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_17}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_17] = '1'",,,,,,
med_inh_23,mdication_actuellement_prise,,radio,,"1, PULMICORT turbuhaler (budésonide)",,,,,,,,LV,,,,
med_inh_tab_23,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.02%;"" border=""1""> <tbody> <tr> <td style=""width: 18.702%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 20.1189%; text-align: center;"">Dose</td> <td style=""width: 22.3858%; text-align: center;"">Fréquence</td> <td style=""width: 20.5465%; text-align: center;"">Dose quotidienne</td> <td style=""width: 18.2744%; text-align: center;"">Dose équivalente de fluticasone propionate</td> </tr> <tr> <td style=""width: 18.702%; text-align: center;"">{med_inh_puff_23}</td> <td style=""width: 20.1189%; text-align: center;"">{med_inh_dose_23}</td> <td style=""width: 22.3858%; text-align: center;"">{med_inh_freq_23}</td> <td style=""width: 20.5465%; text-align: center;"">{med_inh_dq_23}</td> <td style=""width: 18.2744%; text-align: center;"">{med_inh_defp23}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_23] = '1'",,,,,,
med_inh_defp23,mdication_actuellement_prise,,calc,"Dose équivalente en fluticasone proprionate",[med_inh_puff_23]*[med_inh_dose_23]*[med_inh_freq_23]*250/400,,,,,,,,LV,,,,
med_inh_24,mdication_actuellement_prise,,radio,,"1, QVAR (béclométhasone)",,,,,,,,LV,,,,
med_inh_tab_24,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.02%;"" border=""1""> <tbody> <tr> <td style=""width: 18.702%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 20.1189%; text-align: center;"">Dose</td> <td style=""width: 22.3858%; text-align: center;"">Fréquence</td> <td style=""width: 20.5465%; text-align: center;"">Dose quotidienne</td> <td style=""width: 18.2744%; text-align: center;"">Dose équivalente de fluticasone propionate</td> </tr> <tr> <td style=""width: 18.702%; text-align: center;"">{med_inh_puff_24}</td> <td style=""width: 20.1189%; text-align: center;"">{med_inh_dose_24}</td> <td style=""width: 22.3858%; text-align: center;"">{med_inh_freq_24}</td> <td style=""width: 20.5465%; text-align: center;"">{med_inh_dq_24}</td> <td style=""width: 18.2744%; text-align: center;"">{med_inh_defp24}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_24] = '1'",,,,,,
med_inh_defp24,mdication_actuellement_prise,,calc,"Dose équivalente en fluticasone proprionate",[med_inh_puff_24]*[med_inh_dose_24]*[med_inh_freq_24]*250/200,,,,,,,,LV,,,,
med_inh_1,mdication_actuellement_prise,"<div class=""rich-text-field-label""><p>DUO <span style=""color: #ba372a;"">CORTICOSTÉROÏDES</span> + <span style=""color: #2dc26b;"">BALA</span></p></div>",radio,,"1, ADVAIR diskus (fluticasone propionate/salmétérol)",,,,,,,,LV,,,,
med_inh_tab_1,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_1}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_1}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_1}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_1}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_1] = '1'",,,,,,
med_inh_2,mdication_actuellement_prise,,radio,,"1, ADVAIR HFA (fluticasone propionate/salmétérol)",,,,,,,,LV,,,,
med_inh_tab_2,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 23.397%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 23.397%; text-align: center;"">Dose</td> <td style=""width: 23.397%; text-align: center;"">Fréquence</td> <td style=""width: 23.397%; text-align: center;"">Dose quotidienne</td> </tr> <tr> <td style=""width: 23.397%; text-align: center;"">{med_inh_puff_2}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dose_2}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_freq_2}</td> <td style=""width: 23.397%; text-align: center;"">{med_inh_dq_2}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_2] = '1'",,,,,,
med_inh_7,mdication_actuellement_prise,,radio,,"1, ATECTURA (mométasone/incadatérol)",,,,,,,,LV,,,,
med_inh_tab_7,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.02%;"" border=""1""> <tbody> <tr> <td style=""width: 18.702%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 20.1189%; text-align: center;"">Dose</td> <td style=""width: 22.3858%; text-align: center;"">Fréquence</td> <td style=""width: 20.5465%; text-align: center;"">Dose quotidienne</td> <td style=""width: 18.2744%; text-align: center;"">Dose équivalente de fluticasone propionate</td> </tr> <tr> <td style=""width: 18.702%; text-align: center;"">{med_inh_puff_7}</td> <td style=""width: 20.1189%; text-align: center;"">{med_inh_dose_7}</td> <td style=""width: 22.3858%; text-align: center;"">{med_inh_freq_7}</td> <td style=""width: 20.5465%; text-align: center;"">{med_inh_dq_7}</td> <td style=""width: 18.2744%; text-align: center;"">{med_inh_defp7}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_7] = '1'",,,,,,
med_inh_defp7,mdication_actuellement_prise,,calc,"Dose équivalente en fluticasone proprionate",[med_inh_puff_7]*[med_inh_dose_7]*[med_inh_freq_7]*250/80,,,,,,,,LV,,,,
med_inh_10,mdication_actuellement_prise,,radio,,"1, BREO (fluticasone furoate/vilantérol)",,,,,,,,LV,,,,
med_inh_tab_10,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.02%;"" border=""1""> <tbody> <tr> <td style=""width: 18.702%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 20.1189%; text-align: center;"">Dose</td> <td style=""width: 22.3858%; text-align: center;"">Fréquence</td> <td style=""width: 20.5465%; text-align: center;"">Dose quotidienne</td> <td style=""width: 18.2744%; text-align: center;"">Dose équivalente de fluticasone propionate</td> </tr> <tr> <td style=""width: 18.702%; text-align: center;"">{med_inh_puff_10}</td> <td style=""width: 20.1189%; text-align: center;"">{med_inh_dose_10}</td> <td style=""width: 22.3858%; text-align: center;"">{med_inh_freq_10}</td> <td style=""width: 20.5465%; text-align: center;"">{med_inh_dq_10}</td> <td style=""width: 18.2744%; text-align: center;"">{med_inh_defp10}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_10] = '1'",,,,,,
med_inh_defp10,mdication_actuellement_prise,,calc,"Dose équivalente en fluticasone proprionate",[med_inh_puff_10]*[med_inh_dose_10]*[med_inh_freq_10]*500/100,,,,,,,,LV,,,,
med_inh_29,mdication_actuellement_prise,,radio,,"1, SYMBICORT (budésonide/formotérol)",,,,,,,,LV,,,,
med_inh_mart_29,mdication_actuellement_prise,,radio,MART,"0, NON | 1, OUI",,,,,,"[med_inh_29] = '1'",,LH,,,,
med_inh_tab_29,mdication_actuellement_prise,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.02%;"" border=""1""> <tbody> <tr> <td style=""width: 18.702%; text-align: center;"">Nombre de bouffées</td> <td style=""width: 20.1189%; text-align: center;"">Dose</td> <td style=""width: 22.3858%; text-align: center;"">Fréquence</td> <td style=""width: 20.5465%; text-align: center;"">Dose quotidienne</td> <td style=""width: 18.2744%; text-align: center;"">Dose équivalente de fluticasone propionate</td> </tr> <tr> <td style=""width: 18.702%; text-align: center;"">{med_inh_puff_29}</td> <td style=""width: 20.1189%; text-align: center;"">{med_inh_dose_29}</td> <td style=""width: 22.3858%; text-align: center;"">{med_inh_freq_29}</td> <td style=""width: 20.5465%; text-align: center;"">{med_inh_dq_29}</td> <td style=""width: 18.2744%; text-align: center;"">{med_inh_defp29}</td> </tr> </tbody> </table></div>",,,,,,,"[med_inh_29] = '1'",,,,,,
med_inh_defp29,mdication_actuellement_prise,,calc,"Dose équivalente en fluticasone proprionate",[med_inh_puff_29]*[med_inh_dose_29]*[med_inh_freq_29]*250/400,,,,,,,,LV,,,,
med_inh_38,mdication_actuellement_prise,,radio,,"1, WIXELA (fluticasone propionate/salmétérol)",,,,,,,,LV,,,,
